nama_rumah_sakit,nama_dokter
Sehat Sentosa,"dr. Adrian Pratama, Sp.JP(K)"
Sehat Sentosa,"dr. Fadillah Ramadhan, Sp.JP"
Sehat Sentosa,"dr. Silvia Mahendra, Sp.JP(K), FIHA"
Bina Medika,"dr. Hendrik Wijaya, Sp.JP, FACC"
Bina Medika,"dr. Laksmi Dewanti, Sp.JP, FIHA, FESC"
Bina Medika,"dr. Rizky Alamsyah, Sp.JP(K), FAsCC"
Mitra Kasih,"dr. Nathania Surya, Sp.JP, FESC, FSCAI"
Mitra Kasih,"dr. Yudha Perdana, Sp.JP(K), FACC, FIHA"
Mitra Kasih,"dr. Arief Nugroho, Sp.JP, FIHA, FAPSIC"
Citra Medika,"dr. Bella Kusuma, Sp.JP, FESC, FSCAI"
Citra Medika,"dr. Clara Anindita, Sp.JP(K), FIHA"
Citra Medika,"dr. Muhammad Rafiq, Sp.JP, FACC"
Sentra Medika Hospital,"dr. Dwi Setiawan, Sp.JP, FESC"
Sentra Medika Hospital,"dr. Jessica Alifia, Sp.JP, FAsCC"
Sentra Medika Hospital,"dr. Ivan Pratama, Sp.JP, FSCAI"
Nusantara Health Center,"dr. Arjuna Widodo, Sp.JP(K), FACC"
Nusantara Health Center,"dr. Maya Lestari, Sp.JP, FAPSIC"
Nusantara Health Center,"dr. Riza Hakim, Sp.JP, FIHA, FESC"
PrimeCare Hospital,"dr. Silvia Ramadhani, Sp.JP, FAsCC"
PrimeCare Hospital,"dr. Johan Sulaiman, Sp.JP, FACC, FIHA"
PrimeCare Hospital,"dr. Jason Cristover, Sp.JP, FAPSIC"
NeuroMedika Center,"dr. Amanda Humaira, Sp.JP, FACC, FIHA"
NeuroMedika Center,"dr. Bunga Melati, Sp.JP, FSCAI"
NeuroMedika Center,"dr. Stefanus Widodo, Sp.JP(K), FACC"
Pusat Jantung Sehat,"dr. Nafisa Arrasyida, Sp.JP, FAsCC"
Pusat Jantung Sehat,"dr. Athaillah Sifa Tanudatar, Sp.JP(K), FACC, FIHA"
Pusat Jantung Sehat,"dr. Timothy Donald, Sp.JP, FESC"
Cardio Care Hospital,"dr. Aditya Dharma, Sp.JP, FACC, FIHA"
Cardio Care Hospital,"dr. Reyvano Mario, Sp.JP, FACC"
Cardio Care Hospital,"dr. Nelil Amaani, Sp.JP, FAPSIC"
