nama_rumah_sakit,alamat,nomor_telepon
Sehat Sentosa,"Jl. Melati Raya No. 45, Jakarta Selatan, DKI Jakarta 12340",021-7845-1234
Bina Medika,"Jl. Sudirman No. 88, Jakarta Pusat, DKI Jakarta 10210",021-3456-7890
Mitra Kasih,"Jl. Kesehatan No. 10, Jakarta Barat, DKI Jakarta 11530",021-5678-9012
Citra Medika,"Jl. Gatot Subroto No. 25, Jakarta Selatan, DKI Jakarta 12930",021-9876-5432
Sentra Medika Hospital,"Jl. MH Thamrin No. 50, Jakarta Pusat, DKI Jakarta 10350",021-1212-3434
Nusantara Health Center,"Jl. Asia Afrika No. 75, Jakarta Barat, DKI Jakarta 11840",021-2121-4343
PrimeCare Hospital,"Jl. Kuningan Barat No. 10, Jakarta Selatan, DKI Jakarta 12740",021-6677-8899
NeuroMedika Center,"Jl. Prof. Dr. Satrio No. 5, Jakarta Selatan, DKI Jakarta 12950",021-4444-5555
Pusat Jantung Sehat,"Jl. Kardiologi No. 1, Jakarta Pusat, DKI Jakarta 10430",021-7777-8888
Cardio Care Hospital,"Jl. Arteri Pondok Indah No. 20, Jakarta Selatan, DKI Jakarta 12240",021-5555-6666
